id_year;name;id_team;name;type;minutes;id_answer;inserted;correct;id_task;score;category
1;2009;62;"Bystrí, silní, tvoriví";idea;53;2;2009-10-24 15:53:32;TRUE;22;1000;high_school
1;2009;91;Havran;logical;54;3;2009-10-24 15:54:02;TRUE;12;1000;college
1;2009;49;Privat Members;logical;54;4;2009-10-24 15:54:34;TRUE;13;1000;other
1;2009;29;WeSwearSheWas18;idea;55;5;2009-10-24 15:55:04;TRUE;23;1000;high_school
1;2009;3;Zero power zero;idea;55;6;2009-10-24 15:55:38;TRUE;23;999;high_school
1;2009;16;Kokokel;logical;56;7;2009-10-24 15:56:10;TRUE;12;999;college
1;2009;49;Privat Members;logical;56;8;2009-10-24 15:56:50;TRUE;14;1000;other
1;2009;76;"Matfyzák a matfyzák, a.s.";idea;57;9;2009-10-24 15:57:20;TRUE;22;999;college
1;2009;27;Ustafaci;idea;57;10;2009-10-24 15:57:50;TRUE;22;998;college
1;2009;53;team13;logical;58;11;2009-10-24 15:58:23;TRUE;12;998;college
1;2009;76;"Matfyzák a matfyzák, a.s.";logical;58;12;2009-10-24 15:58:53;TRUE;13;999;college
1;2009;46;Pomocná škola;idea;59;13;2009-10-24 15:59:24;TRUE;23;998;other
1;2009;62;"Bystrí, silní, tvoriví";programming;59;14;2009-10-24 15:59:57;TRUE;1;1000;high_school
1;2009;6;kancl;idea;60;15;2009-10-24 16:00:03;TRUE;22;997;other
1;2009;30;My nic - to samo;idea;60;16;2009-10-24 16:00:33;TRUE;22;996;college
1;2009;61;para-N-methylaminoazobenzen;logical;61;17;2009-10-24 16:01:05;TRUE;12;997;high_school
1;2009;72;GyTu Solvers;idea;61;18;2009-10-24 16:01:35;TRUE;23;997;high_school
1;2009;48;KoKoDlDlSi;logical;62;19;2009-10-24 16:02:07;TRUE;13;998;college
1;2009;49;Privat Members;idea;62;20;2009-10-24 16:02:42;TRUE;23;996;other
1;2009;53;team13;logical;63;21;2009-10-24 16:03:12;TRUE;13;997;college
1;2009;53;team13;idea;63;22;2009-10-24 16:03:42;TRUE;23;995;college
1;2009;53;team13;programming;64;23;2009-10-24 16:04:12;TRUE;1;999;college
1;2009;74;Organizátoři;logical;64;24;2009-10-24 16:04:25;FALSE;12;0;other
1;2009;21;Byli jsme čtyři;idea;64;25;2009-10-24 16:04:27;TRUE;23;994;college
1;2009;48;KoKoDlDlSi;idea;64;26;2009-10-24 16:04:27;TRUE;23;994;college
1;2009;16;Kokokel;idea;64;27;2009-10-24 16:04:28;TRUE;23;992;college
1;2009;77;Faltus Team;idea;64;28;2009-10-24 16:04:29;TRUE;23;991;high_school
1;2009;11;interwin;logical;64;29;2009-10-24 16:04:29;TRUE;14;999;high_school
1;2009;43;Červený trpaslík;idea;64;30;2009-10-24 16:04:29;TRUE;23;991;other
1;2009;53;team13;idea;64;31;2009-10-24 16:04:30;TRUE;22;995;college
1;2009;7;Societas Leptonychotes;idea;64;32;2009-10-24 16:04:32;TRUE;23;989;other
1;2009;7;Societas Leptonychotes;logical;64;33;2009-10-24 16:04:36;TRUE;14;998;other
1;2009;6;kancl;programming;64;34;2009-10-24 16:04:37;FALSE;5;0;other
1;2009;43;Červený trpaslík;logical;64;35;2009-10-24 16:04:38;TRUE;12;996;other
1;2009;21;Byli jsme čtyři;logical;64;36;2009-10-24 16:04:39;TRUE;13;996;college
1;2009;16;Kokokel;idea;64;37;2009-10-24 16:04:39;TRUE;22;994;college
1;2009;7;Societas Leptonychotes;logical;64;38;2009-10-24 16:04:47;FALSE;12;0;other
1;2009;62;"Bystrí, silní, tvoriví";idea;64;39;2009-10-24 16:04:48;TRUE;23;988;high_school
1;2009;11;interwin;idea;64;40;2009-10-24 16:04:48;TRUE;23;988;high_school
1;2009;16;Kokokel;logical;64;41;2009-10-24 16:04:48;TRUE;13;995;college
1;2009;77;Faltus Team;idea;64;42;2009-10-24 16:04:50;FALSE;21;0;high_school
1;2009;21;Byli jsme čtyři;logical;64;44;2009-10-24 16:04:56;TRUE;12;995;college
